"","white","wage","Dany","Dmult","maemp","scht","qmab","qmab2","qvab","qvab2","paed_u","maed_u","agepa","agema","sib_u","wagebin"
"70",1,1.44901008415036,0,">=A/eq",0,2,3,1,1,1,0,0,37,36,0,0
"71",1,1.49101813253947,0,"None",0,2,2,2,1,2,0,0,42,42,0,0
"72",1,1.76163887185976,1,">=A/eq",1,2,5,5,3,4,9,9,43,42,0,1
"73",1,1.73947532731109,0,"None",1,2,2,2,2,1,9,9,52,45,3,0
"74",1,2.6888208752498,1,">=A/eq",1,1,1,2,3,2,9,9,38,37,3,1
"75",1,2.93864081916399,1,">=A/eq",1,3,5,3,5,4,9,10,49,44,1,1
"76",1,2.45824034279213,1,"O/eq",1,1,4,1,1,1,9,9,46,45,4,0
"77",1,2.53784490958787,1,">=A/eq",1,3,4,5,5,5,11,11,46,51,2,0
"78",1,2.20237801945768,0,"None",1,1,4,2,3,2,9,9,50,46,2,0
"79",1,1.04133618366904,1,"O/eq",1,1,3,1,2,2,9,9,39,35,3,0
"80",1,1.39860456273891,1,"O/eq",0,1,3,2,4,2,0,0,54,51,0,0
"81",1,2.45532436878421,1,">=A/eq",0,4,5,5,4,4,13,12,65,47,1,1
"82",1,2.43268783669919,1,">=A/eq",1,4,1,4,5,4,10,10,40,36,2,1
"83",1,2.69538090890273,1,">=A/eq",1,3,4,5,5,4,15,15,45,45,2,1
"84",1,1.84752500755712,1,"O/eq",1,1,2,1,1,1,9,9,53,43,2,1
"85",1,1.89701498788782,0,"None",0,2,1,3,2,1,9,9,41,39,3,0
"86",1,2.28854993963614,0,"None",0,2,3,2,3,2,9,10,39,36,0,0
"87",1,2.08392965281383,1,">=A/eq",1,3,4,3,3,5,12,9,49,50,1,1
"88",1,1.23212308716028,0,"None",1,1,2,1,1,1,9,9,45,42,2,0
"89",1,1.00243655079976,1,">=A/eq",1,2,1,4,3,4,9,9,48,41,1,0
"90",1,2.37791957496666,0,"None",0,2,4,3,5,3,9,9,42,42,0,1
"91",1,1.05227186973206,0,"None",0,2,3,1,1,1,0,0,43,42,0,0
"92",1,2.47116810758598,0,"None",0,1,1,1,1,1,9,9,41,41,2,1
"93",1,1.96426851768047,1,"O/eq",0,2,4,4,2,4,0,0,54,54,0,0
"94",1,1.89591914694756,1,">=A/eq",1,2,2,2,2,4,9,9,50,49,3,0
"95",1,1.86034668190405,0,"None",1,2,2,2,1,1,9,9,55,53,9,0
"96",1,2.46871898602694,1,">=A/eq",1,3,4,3,4,2,11,11,41,39,2,1
"97",1,1.77965024369769,0,"None",0,2,4,1,1,1,9,9,56,55,10,0
"98",1,1.92617169208825,1,"O/eq",1,1,3,5,1,4,9,12,45,43,8,1
"99",1,2.46237635845318,0,">=A/eq",1,2,1,1,1,1,10,10,43,37,3,1
"100",1,1.90965083823539,1,">=A/eq",1,1,4,1,1,2,9,9,46,45,1,0
"101",1,2.40388836013153,1,"O/eq",1,1,2,1,2,1,10,10,38,37,2,0
"102",1,1.33212384581566,1,"O/eq",0,1,1,1,1,1,9,9,56,51,2,0
"103",1,1.45824494957923,1,"O/eq",1,3,5,5,3,5,9,9,47,44,0,0
"104",1,1.9562731704209,1,"O/eq",0,1,3,5,4,3,9,9,47,43,0,0
"105",1,1.89309969148599,1,"O/eq",1,1,4,4,2,3,9,11,50,46,3,0
"106",1,1.91845715022646,1,">=A/eq",1,1,1,1,1,2,9,9,49,45,0,0
"107",1,1.80712520098313,1,"O/eq",0,1,3,1,1,1,8,7,41,41,0,0
"108",1,2.32305474160239,1,">=A/eq",0,1,3,1,1,2,0,0,53,53,0,1
"109",1,2.05999196623452,1,">=A/eq",1,1,3,4,2,2,10,10,40,38,2,1
"110",1,2.38931109290571,1,">=A/eq",0,1,3,5,3,5,0,0,65,55,0,1
"111",1,2.19512787205167,1,">=A/eq",0,3,4,4,5,3,11,10,66,59,5,1
"112",1,1.95633479580283,1,">=A/eq",0,5,3,5,4,5,0,0,62,58,0,0
"113",1,2.26890172320418,1,"O/eq",1,1,3,3,5,5,9,9,49,48,3,0
"114",1,1.76027896045707,0,">=A/eq",1,1,4,3,2,3,9,10,35,34,0,0
"115",1,1.3159867823124,0,"None",1,2,3,3,2,3,10,10,39,38,1,0
"116",1,1.93465990805998,0,"None",1,2,1,1,1,1,10,10,36,37,3,0
"117",1,2.59905771282501,0,">=A/eq",0,2,2,4,2,2,9,10,40,35,0,1
"118",1,1.97004246572033,1,">=A/eq",1,3,5,5,5,5,9,9,47,43,5,0
"119",1,1.99709451198578,1,">=A/eq",1,2,2,2,1,2,9,9,53,50,1,0
"120",1,1.88660805672407,1,">=A/eq",0,3,5,5,5,5,0,0,50,47,0,1
"121",1,1.00244379532523,0,"None",0,1,1,1,1,1,9,10,47,48,0,0
"122",1,2.28355451952666,1,"O/eq",1,1,4,2,1,1,9,10,45,40,7,0
"123",1,2.18526083230972,1,">=A/eq",1,2,5,5,4,5,9,9,52,52,1,1
"124",1,1.72092541004531,1,">=A/eq",1,1,3,1,3,3,9,9,48,45,1,0
"125",1,1.42120197950862,1,"O/eq",1,1,4,2,3,2,9,11,46,47,1,0
"126",1,2.33084325748496,0,">=A/eq",1,1,4,1,2,1,11,10,41,40,1,0
"127",1,2.51615523803048,1,">=A/eq",0,1,5,4,5,4,10,10,39,37,2,1
"128",1,2.1418942543678,0,">=A/eq",1,1,2,2,3,2,11,11,51,46,0,0
"129",1,2.10233091842383,1,"O/eq",1,1,2,2,4,2,10,10,39,40,1,0
"130",1,2.308277226286,0,"None",1,1,2,2,3,2,9,10,41,39,4,0
"131",1,0.682778649497777,1,"O/eq",0,3,4,5,5,5,18,18,37,33,0,0
"132",1,2.24078079382889,1,"O/eq",1,2,3,2,1,2,9,9,46,40,5,0
"133",1,2.05236580362544,0,"None",1,1,1,2,5,2,9,10,44,40,2,0
"134",1,2.42833336046897,1,">=A/eq",0,1,5,5,3,5,9,10,48,41,0,1
"135",1,1.58163715247065,0,"None",0,1,1,2,1,1,9,9,51,50,4,0
"136",1,1.73568890150636,0,"None",0,1,3,1,3,1,9,10,39,36,0,0
"137",1,1.58101607626304,0,"None",0,1,3,3,3,3,0,0,58,55,0,0
"138",1,2.27108646673151,1,">=A/eq",1,3,5,4,5,4,9,9,49,43,2,1
"139",1,2.20898894732818,1,"O/eq",0,1,3,2,1,2,0,0,52,47,0,0
"140",1,2.07557645253837,1,">=A/eq",0,2,5,3,4,3,9,9,44,42,4,0
"141",1,1.0843935108278,0,"None",0,2,2,5,3,2,0,0,47,45,1,0
"142",1,3.04892491060309,1,">=A/eq",1,4,5,4,3,4,11,11,49,45,1,1
"143",1,2.47752661514096,1,">=A/eq",0,2,3,4,3,4,11,10,47,45,0,1
"144",1,2.16945272800513,1,">=A/eq",1,1,3,5,4,5,11,11,48,42,1,1
"145",1,1.55897924420424,1,"O/eq",0,1,1,4,3,4,9,9,39,41,0,0
"146",1,2.20681931404397,1,">=A/eq",0,1,1,4,2,5,9,9,48,44,3,0
"147",1,1.63910727133043,1,">=A/eq",0,3,4,4,4,5,9,9,43,40,0,0
"148",1,1.85084343049675,0,"None",0,1,1,5,5,4,9,9,44,40,0,0
"149",1,1.52408232702873,1,"O/eq",1,2,1,5,2,2,17,17,38,36,0,0
"150",1,1.58894972456619,0,"None",0,2,2,3,3,3,11,10,64,43,1,0
"151",1,1.98880999092944,1,"O/eq",0,2,2,1,1,2,9,11,61,50,0,0
"152",1,1.62360869115218,1,"O/eq",1,4,5,2,5,2,9,9,46,43,0,0
"153",1,2.56773199955933,1,">=A/eq",0,3,5,5,5,5,9,11,54,45,2,1
"154",1,2.2834447142668,1,"O/eq",1,3,5,3,3,4,9,9,45,44,3,1
"155",1,2.70006981678307,0,"None",1,2,1,1,3,1,9,9,44,44,1,1
"156",1,2.71494415658526,0,"None",0,3,5,5,5,5,18,11,58,48,2,1
"157",1,1.91862849378959,0,"None",0,2,1,2,1,2,9,9,54,52,2,0
"158",1,1.88657339452766,1,">=A/eq",1,1,3,5,3,4,13,9,39,47,4,1
"159",1,2.0436191931367,0,"None",1,2,2,2,1,2,10,11,39,39,1,0
"160",1,2.41195285902358,0,"None",1,1,5,5,5,5,9,10,42,35,2,1
"161",1,2.17971607879735,0,"None",1,1,2,1,1,1,9,9,54,53,3,0
"162",1,2.26855928939767,0,"None",1,1,3,5,4,4,9,9,53,51,1,0
"163",1,2.05958448443561,0,"O/eq",0,2,2,5,1,1,9,9,42,41,3,1
"164",1,2.05650194035843,0,"None",1,2,1,2,1,1,9,10,46,37,5,0
"165",1,2.04086750652641,0,"None",0,2,1,1,2,1,9,9,63,45,6,0
"166",1,1.68518067104742,0,"None",1,1,1,1,1,1,9,9,45,43,1,0
"167",1,1.83873424655758,1,"O/eq",0,4,3,5,1,4,0,0,41,38,0,0
"168",1,1.51036163931712,0,"None",1,2,4,4,4,5,9,9,45,42,1,0
"169",1,2.51654389989562,1,"O/eq",0,1,3,4,5,5,0,0,37,36,0,1
"170",1,2.36221009399742,0,"None",0,2,5,2,3,5,15,11,47,46,0,0
"171",1,1.56187697779388,1,">=A/eq",0,1,5,4,2,4,9,9,51,50,2,0
"172",1,2.33002018369734,1,"O/eq",1,1,4,4,4,4,9,9,50,48,2,0
"173",1,1.81066504749469,1,">=A/eq",0,3,3,5,3,5,0,0,60,60,0,1
"174",1,1.75854333280586,0,"None",1,2,2,3,2,1,9,9,40,43,2,0
"175",1,2.04556173924356,1,">=A/eq",0,1,5,3,5,3,10,10,46,37,2,1
"176",1,2.23097435222007,0,">=A/eq",0,1,3,3,1,2,9,10,38,36,0,1
"177",1,1.34249941911548,0,"None",1,1,1,1,2,2,9,9,40,35,2,0
"178",1,1.24816326913424,1,">=A/eq",0,1,5,5,4,4,11,9,47,42,0,0
"179",1,1.90118776657619,1,">=A/eq",0,1,4,4,4,5,11,10,38,34,0,0
"180",1,1.9454907597974,1,"O/eq",1,4,1,3,1,3,11,10,45,45,1,0
"181",1,1.55372580862604,1,">=A/eq",0,1,3,2,4,3,9,9,55,51,0,0
"182",1,1.74517641565762,1,">=A/eq",0,1,4,4,3,5,9,10,41,38,0,0
"183",1,1.28615148807876,1,"O/eq",0,1,3,1,4,4,12,15,54,42,0,0
"184",1,1.87431273376569,0,"O/eq",0,2,2,5,3,4,0,0,54,50,1,0
"185",1,2.64789140573703,0,"None",0,3,3,4,5,5,12,9,48,44,3,1
"186",1,1.46461732545868,0,"None",1,1,4,1,1,1,9,9,57,47,8,0
"187",1,2.8217865745537,0,"None",0,1,2,1,1,1,9,9,45,43,0,1
"188",1,1.8529790667817,1,"O/eq",1,1,3,1,4,1,9,9,40,41,4,0
"189",0,1.64289361331612,1,"O/eq",1,2,2,2,1,2,9,9,52,54,1,0
"190",1,1.64481410942972,0,"None",0,1,3,1,1,1,9,9,41,41,0,0
"191",1,2.00235563307069,1,">=A/eq",0,1,3,4,4,5,18,9,44,42,0,1
"192",1,1.58673932403326,0,"None",0,1,2,2,2,2,0,0,39,40,0,0
"193",1,1.84037448163145,1,">=A/eq",0,4,3,4,3,5,11,11,40,37,3,0
"194",1,1.7861734861508,1,">=A/eq",0,2,3,5,5,5,0,0,54,49,0,0
"195",1,1.7648987446446,1,"O/eq",0,1,3,2,2,3,9,11,53,45,0,0
"196",1,1.83327036420814,0,"None",1,1,3,1,3,3,10,10,38,39,5,0
"197",1,1.2940028088633,1,"O/eq",0,2,3,4,4,4,0,0,55,53,0,0
"198",1,1.33186359587125,0,"None",0,1,4,2,4,2,9,10,44,35,7,0
"199",1,1.93685821117834,1,">=A/eq",0,1,1,3,2,3,9,9,45,45,0,0
"200",1,1.96180321555585,1,"O/eq",0,1,2,1,1,1,11,10,53,47,0,0
"201",1,1.55759831238538,0,"None",0,1,3,2,3,1,9,10,42,39,2,0
"202",1,2.02064439444803,1,"O/eq",1,3,5,3,5,4,9,9,47,41,2,0
"203",1,2.56070880475454,1,">=A/eq",0,2,5,4,3,4,11,10,38,34,2,1
"204",1,1.42342576850206,1,"O/eq",0,2,4,3,3,3,9,9,53,46,2,0
"205",1,2.00283497478813,0,"None",1,1,3,1,1,2,9,9,51,49,0,0
"206",1,2.54292327025905,1,">=A/eq",1,1,1,4,5,4,9,10,44,39,1,1
"207",1,2.18525409908033,1,">=A/eq",0,3,5,5,4,5,10,9,40,43,1,0
"208",1,2.25805517635309,0,">=A/eq",1,2,5,4,3,3,9,10,41,40,3,1
"209",1,2.00692337891087,1,">=A/eq",1,2,4,3,3,2,9,9,54,50,2,1
"210",1,1.55195718049072,1,">=A/eq",0,4,5,5,5,5,12,11,61,54,3,0
"211",1,1.92712965863757,1,">=A/eq",1,4,2,4,5,4,9,9,45,41,5,1
"212",1,1.35458005405962,0,"None",0,2,5,2,5,2,0,0,45,45,4,0
"213",1,2.58863919880241,1,">=A/eq",1,3,4,5,4,5,18,11,53,45,1,1
"214",1,2.66652363399044,1,">=A/eq",0,1,5,5,5,5,0,0,46,50,0,1
"215",1,1.51479207607917,1,"O/eq",1,2,1,3,2,3,12,9,46,48,0,0
"216",1,2.51187461684458,1,">=A/eq",0,3,3,4,4,4,0,0,47,46,0,1
"217",1,2.16781982919201,1,">=A/eq",1,4,5,5,4,5,10,10,41,43,1,1
"218",1,3.11816263291984,1,">=A/eq",0,3,5,5,4,5,9,12,42,48,0,1
"219",1,1.03161028935574,0,"None",0,2,1,1,2,1,9,9,49,45,0,0
"220",1,2.39491257234477,1,">=A/eq",1,1,5,4,3,5,10,10,38,37,3,1
"221",1,1.35093220509589,0,"None",0,2,2,4,4,4,11,9,51,51,1,0
"222",1,2.42484419140965,1,"O/eq",1,3,3,3,3,4,9,10,44,38,2,1
"223",1,1.88294343044981,0,"O/eq",0,1,5,4,3,2,9,9,43,41,0,1
"224",1,1.7790667633526,1,">=A/eq",1,2,3,5,2,5,10,10,41,37,2,0
"225",1,2.4806645354256,1,">=A/eq",0,1,3,5,3,5,0,0,42,41,0,1
"226",1,2.09906307375059,1,">=A/eq",1,1,2,3,5,4,9,10,41,40,2,1
"227",1,2.15483347768895,1,">=A/eq",1,1,3,4,3,4,9,10,41,40,2,1
"228",1,1.36205236287788,1,"O/eq",1,1,3,3,4,3,10,9,49,44,4,0
"229",1,2.70311366859824,1,">=A/eq",0,1,5,4,5,4,9,9,48,45,0,1
"230",1,1.8588541187346,1,">=A/eq",0,1,5,5,4,5,13,11,46,48,2,1
"231",1,2.1144273255486,1,">=A/eq",1,3,4,5,5,4,9,9,45,45,1,0
"232",1,2.55910548823886,1,">=A/eq",1,1,5,2,5,3,12,11,43,39,1,1
"233",1,1.75449618254788,0,"None",1,1,4,3,2,2,9,9,47,42,4,0
"234",1,2.06592199532315,1,">=A/eq",0,1,1,5,1,4,9,10,36,35,4,0
"235",1,2.20525497873314,1,">=A/eq",1,4,4,5,5,5,11,9,43,47,2,0
"236",1,1.81719775754027,1,">=A/eq",0,2,3,5,4,5,10,12,42,36,1,0
"237",1,1.08623419352807,0,"O/eq",0,1,1,4,3,3,11,11,37,37,0,0
"238",1,1.61288614198566,0,"None",1,2,2,2,1,2,9,9,50,45,2,0
"239",1,1.83608322707005,1,"O/eq",1,2,1,1,1,1,10,10,34,33,3,0
"240",1,1.24716879893094,0,"None",0,2,1,4,2,1,0,0,39,37,0,0
"241",1,2.47705631819553,0,"O/eq",1,2,4,1,1,2,10,9,42,42,3,0
"242",1,1.66074890806339,1,">=A/eq",0,1,3,4,4,4,9,9,42,41,2,1
"243",1,1.83048919844441,1,">=A/eq",1,3,5,5,3,5,12,9,47,47,2,1
"244",1,1.36741277086549,0,">=A/eq",1,2,3,2,2,2,9,9,48,46,1,0
"245",1,1.67566287564114,0,"None",0,2,3,1,1,3,0,0,52,51,0,0
"246",1,2.39776788419113,1,">=A/eq",0,3,4,5,3,5,9,9,39,34,0,0
"247",1,1.77735207765363,1,">=A/eq",1,1,3,3,5,5,9,9,51,50,2,0
"248",1,2.09775901329704,0,"None",1,1,2,1,2,1,9,9,48,46,3,0
"249",1,1.22165077249519,0,">=A/eq",1,3,3,2,4,3,9,9,56,52,2,0
"250",1,2.77462966414168,1,">=A/eq",0,2,4,2,4,2,9,10,42,40,0,1
"251",1,1.62949686450884,0,"None",1,1,1,2,1,1,9,9,45,41,4,0
"252",1,1.54036534042098,0,"None",0,1,4,1,4,2,10,10,40,38,6,0
"253",1,2.02541420538909,1,"O/eq",0,3,5,4,5,5,8,9,46,42,0,0
"254",1,1.91115276399068,1,"O/eq",0,3,4,3,4,5,10,11,46,50,1,0
"255",1,1.30784705094993,0,"None",1,1,1,1,2,1,9,9,45,46,2,0
"256",1,1.89692749385722,1,"O/eq",1,2,4,1,3,1,9,9,49,45,1,0
"257",0,2.65735763683915,1,">=A/eq",1,1,5,4,4,4,9,9,51,48,2,1
"258",1,2.12950708530843,1,"O/eq",1,2,4,5,4,4,9,9,50,36,4,1
"259",1,2.41731842863373,1,"O/eq",0,3,5,5,5,5,0,0,46,45,0,1
"260",1,2.08520461013541,1,">=A/eq",0,1,3,4,4,2,11,13,55,43,4,1
"261",1,2.33151557343081,1,">=A/eq",0,3,4,2,5,3,0,0,52,52,0,1
"262",1,2.98189263418317,1,">=A/eq",0,1,3,5,5,5,10,10,47,46,0,1
"263",1,1.85284561035223,1,">=A/eq",1,1,5,5,5,4,10,10,38,37,3,1
"264",1,1.88933377433568,1,"O/eq",1,3,4,3,4,5,9,9,49,47,4,0
"265",1,2.79050260782242,1,">=A/eq",0,1,4,2,3,2,9,9,46,41,0,1
"266",1,2.92049505212344,1,">=A/eq",1,3,5,5,4,5,11,10,37,39,2,1
"267",1,1.69005597080104,1,">=A/eq",1,4,5,5,5,5,18,18,42,40,3,0
"268",1,2.34219923662021,0,"None",0,2,1,1,1,1,0,0,38,38,2,0
"269",1,2.5262717762962,1,">=A/eq",1,1,5,3,5,4,9,9,44,42,0,1
"270",1,2.6253161476925,1,">=A/eq",0,1,2,5,5,4,11,10,45,46,0,1
"271",1,2.59686421602964,1,">=A/eq",0,4,5,4,4,4,9,9,46,42,0,1
"272",1,2.1716504311189,0,"None",1,1,3,2,3,5,10,10,38,37,2,0
"273",1,1.28048738883808,0,"None",0,1,3,1,3,3,9,9,44,41,2,0
"274",1,1.60739997145719,1,"O/eq",1,1,4,4,1,1,9,9,53,49,1,0
"275",1,2.44228793703951,1,">=A/eq",0,2,2,2,1,2,10,10,38,37,7,1
"276",1,2.33075391268357,1,">=A/eq",0,1,5,3,4,4,11,9,53,47,5,1
"277",1,2.15970524493605,0,"None",0,2,3,1,2,1,0,0,43,43,0,0
"278",1,3.21816044929437,1,">=A/eq",0,1,4,5,4,5,0,0,49,43,0,1
"279",1,2.90560376644135,1,">=A/eq",0,1,4,5,5,5,10,9,45,38,0,1
"280",1,3.20800590584986,1,">=A/eq",0,1,5,5,5,5,9,9,45,38,0,1
"281",1,2.37821898655966,1,">=A/eq",1,1,5,5,3,5,9,12,44,42,5,1
"282",1,2.43280685693025,1,">=A/eq",1,1,5,5,5,5,11,9,46,45,1,1
"283",1,1.66832028678619,1,"O/eq",1,3,4,5,4,4,9,12,42,38,2,0
"284",1,1.67236075014807,1,">=A/eq",0,1,3,2,2,3,18,11,40,37,0,1
"285",1,2.67050087731332,1,"O/eq",0,3,1,5,5,5,9,10,54,48,2,1
"286",1,2.47416500095278,1,">=A/eq",0,1,5,3,5,5,0,0,44,44,0,1
"287",1,1.01580551988445,1,">=A/eq",1,3,5,2,5,3,9,9,40,41,2,0
"288",1,2.47596060158685,1,">=A/eq",0,1,3,1,3,3,11,9,47,49,0,1
"289",1,2.61734587932005,1,"O/eq",1,1,5,4,4,4,9,11,47,43,5,1
"290",1,2.03258756431751,1,"O/eq",0,3,5,5,4,4,9,9,56,49,1,0
"291",1,1.67880947468802,0,">=A/eq",1,1,2,1,1,2,9,12,60,52,1,0
"292",1,2.07221142807975,1,"O/eq",0,1,2,2,4,2,9,9,60,55,2,0
"293",1,1.77776129450649,1,">=A/eq",0,1,1,2,2,1,9,9,56,53,4,0
"294",1,2.63928613625467,1,">=A/eq",0,5,3,5,1,5,9,9,40,40,0,1
"295",1,2.30796626466327,1,">=A/eq",1,1,4,4,3,3,8,9,45,45,1,0
"296",1,2.00743291876278,0,">=A/eq",0,1,1,2,1,2,10,10,38,37,3,1
"297",1,1.92722341534682,1,">=A/eq",0,1,5,5,4,5,9,10,43,37,4,0
"298",1,3.09669740335085,1,">=A/eq",0,1,4,4,2,4,9,10,53,39,4,1
"299",1,1.82496179710143,1,"O/eq",0,1,3,1,2,2,9,9,52,50,1,1
"300",1,1.76944053219631,0,"None",0,2,2,1,1,1,10,10,37,36,5,0
"301",1,2.35082585480995,1,"O/eq",0,2,2,1,1,2,18,9,48,43,4,1
"302",1,2.74670792953111,1,"O/eq",1,2,3,5,3,5,9,9,41,41,2,1
"303",1,2.30144149065017,1,"O/eq",0,1,4,1,5,3,0,0,42,44,0,0
"304",1,0.943075105082248,1,"O/eq",1,1,1,2,1,2,7,9,50,51,10,0
"305",1,2.07981579261832,1,"O/eq",1,1,2,3,2,2,9,9,43,43,3,1
"306",1,2.4485047403723,0,"None",0,1,4,2,1,2,9,10,42,40,3,0
"307",1,2.16256406717003,1,">=A/eq",1,1,4,3,4,2,9,9,42,41,5,1
"308",1,1.33739034226165,0,"None",1,1,4,1,4,4,9,9,54,48,6,0
"309",1,2.55740986508317,1,">=A/eq",1,2,4,1,3,2,10,13,42,40,3,1
"310",1,3.34166844538413,1,">=A/eq",1,4,5,4,1,5,11,9,49,48,4,1
